Part Number,Ja,Fe,Ma,Ap,My,Ju,Jl,Au,Se,Oc,No,De,1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,This Year,Last Year
4052-000-150-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4052-000-150-660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129908711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129906213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
7129905769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7129905461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7129908416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
7129909427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129906017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7129907824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129907075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7129907383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7129907195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4052-001-130-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUSQVARNA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129907080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
50139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4990004701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7129907435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7129907390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129908598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129906038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7129907396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129907407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129909303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7147136172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7147077846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
20-5055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7146961198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7147137416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7147566122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
11111255001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11111262141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
4052-001-140-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4052-001-140-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050001000-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46638521571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111337576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3793-000-332-207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51020200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA-01057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129934961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7146778500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
11111256974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7147698893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
11111263903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11111250157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11009056145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
LEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386
54011-0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4053-001-036-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
