,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
20632,555-05063,339.99,136.84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.15,203.15,40.25,1
20645,T2502504,11.99,6.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,5.19,56.71,1
20770,132719,15.99,7.42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.57,8.57,46.4,1
20780,MGOS18300,104.99,35.83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.16,69.16,34.13,1
20786,RA6HC,6.99,3.05,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9400000000000004,39.400000000000006,43.63,1
20794,EL13,24.99,13.56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.429999999999998,11.429999999999998,54.26,1
20843,237183058,38.99,21.27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.720000000000002,53.16000000000001,54.55,1
20852,15111102,21.99,9.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.309999999999999,12.309999999999999,44.02,1
20874,307-1459,15.99,8.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68,7.68,51.97,1
20921,0603-0495,50.99,23.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.39,27.39,46.28,1
21040,25-1147,15.99,6.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72,9.72,39.21,1
21041,56-166,35.99,11.97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.020000000000003,24.020000000000003,33.26,1
21083,286078309,79.99,39.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.99999999999999,39.99999999999999,49.99,1
21093,2882923-410,534.99,160.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.49,374.49,30.0,1
21111,286396406,324.99,194.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,130.0,60.0,1
21135,286965902,54.99,19.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.74,35.74,35.01,1
21159,08-080577,5.99,2.56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,3.43,42.74,1
21184,286893303,89.99,33.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.739999999999995,56.739999999999995,36.95,1
21210,286077412,46.99,23.49,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.500000000000004,47.00000000000001,49.99,1
21211,286077414,46.99,23.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.500000000000004,23.500000000000004,49.99,1
21212,286079202,39.99,23.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.000000000000004,16.000000000000004,59.99,1
21215,286973202,46.99,28.19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,37.6,59.99,1
