,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
35550,85250421A,1.99,1.0825,21,0,0,0,0,0,0,0,0,0,0,0,0,7,6,11,30,22,17,17,0,0,0,0,110,2,21,71,103,110,110,110,110,-42,86,-109,0.9075,19.0575,54.4,0
35551,88641381A,7.99,3.8158,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,16,0,0,0,0,0,36,0,4,24,36,36,36,36,36,57,94,-77,4.174200000000001,50.09040000000001,47.76,0
35557,2880016,14.99,5.28,89,3,13,33,17,28,18,23,17,15,6,5,-60,15,15,16,1,0,10,21,0,0,0,0,78,8,23,31,66,94,-109,64,-120,-101,-101,-101,9.71,864.19,35.22,0
35592,33117695219,1.99,0.87,41,0,0,0,0,0,0,0,0,0,0,0,0,10,6,18,21,28,21,24,0,0,0,0,-128,11,26,76,120,-128,-128,-128,-128,-128,-128,-128,1.12,45.92,43.72,0
35594,550047581,21.99,11.8384,29,0,0,0,0,0,0,0,0,0,0,0,0,8,21,20,22,42,18,32,0,0,0,0,-93,5,37,96,-101,-93,-93,-93,-93,-93,-93,-93,10.151599999999998,294.39639999999997,53.84,0
35607,07119963340,1.99,1.19,124,0,0,0,0,0,0,0,0,0,0,0,0,10,7,33,28,37,37,29,0,0,0,0,-75,14,32,107,-83,-75,-75,-75,-75,-75,-75,-75,0.8,99.2,59.8,0
35610,2880191,117.99,38.94,54,0,4,2,4,7,6,5,7,2,1,2,43,3,3,8,11,9,6,7,0,0,0,0,47,3,7,26,44,50,64,111,-80,-57,-57,-57,79.05,4268.7,33.0,0
35618,153237,74.99,43.2,18,3,11,5,1,11,10,17,8,7,1,0,80,3,2,10,13,14,15,11,0,0,0,0,68,1,13,41,65,69,101,-79,-4,17,17,17,31.789999999999992,572.2199999999998,57.61,0
35629,07119963252,2.99,1.23,85,0,0,0,0,0,0,0,0,0,0,0,0,19,21,41,37,39,59,37,0,0,0,0,-3,13,44,-114,-21,-3,-3,-3,-3,-3,-3,-3,1.7600000000000002,600.1600000000001,41.14,0
35630,83132467961,13.99,4.66,3,0,0,0,0,0,0,0,0,0,0,0,0,11,15,36,24,31,40,37,0,0,0,0,-62,13,50,114,-68,-62,-62,-62,-62,-62,-62,-62,9.33,27.990000000000002,33.31,0
